company_name,industry,symbol,Series,sector,ticker,f&o
D.B.Corp Limited,"Media, Entertainment & Publication",DBCORP,EQ,"Media, Entertainment & Publication",DBCORP.NS,#N/A
Dilip Buildcon Limited,Construction,DBL,EQ,Construction,DBL.NS,#N/A
D B Realty Limited,Realty,DBREALTY,EQ,Realty,DBREALTY.NS,#N/A
Dishman Carbogen Amcis Limited,Healthcare,DCAL,EQ,Healthcare,DCAL.NS,#N/A
DCB Bank Limited,Financial Services,DCBBANK,EQ,Financial Services,DCBBANK.NS,#N/A
DCM Shriram Limited,Diversified,DCMSHRIRAM,EQ,Diversified,DCMSHRIRAM.NS,#N/A
DCX Systems Limited,Capital Goods,DCXINDIA,EQ,Capital Goods,DCXINDIA.NS,#N/A
Deepak Fertilizers and Petrochemicals Corporation Limited,Chemicals,DEEPAKFERT,EQ,Chemicals,DEEPAKFERT.NS,#N/A
Deepak Nitrite Limited,Chemicals,DEEPAKNTR,EQ,Chemicals,DEEPAKNTR.NS,#N/A
Delhivery Limited,Services,DELHIVERY,EQ,Services,DELHIVERY.NS,F&O
Delta Corp Limited,Consumer Services,DELTACORP,EQ,Consumer Services,DELTACORP.NS,#N/A
Devyani International Limited,Consumer Services,DEVYANI,EQ,Consumer Services,DEVYANI.NS,#N/A
Dhanuka Agritech Limited,Chemicals,DHANUKA,EQ,Chemicals,DHANUKA.NS,#N/A
Dish TV India Limited,"Media, Entertainment & Publication",DISHTV,EQ,"Media, Entertainment & Publication",DISHTV.NS,#N/A
Divi's Laboratories Limited,Healthcare,DIVISLAB,EQ,Healthcare,DIVISLAB.NS,F&O
Dixon Technologies (India) Limited,Consumer Durables,DIXON,EQ,Consumer Durables,DIXON.NS,F&O
DLF Limited,Realty,DLF,EQ,Realty,DLF.NS,F&O
Avenue Supermarts Limited,Consumer Services,DMART,EQ,Consumer Services,DMART.NS,F&O
Dodla Dairy Limited,Fast Moving Consumer Goods,DODLA,EQ,Fast Moving Consumer Goods,DODLA.NS,#N/A
DOMS Industries Ltd.,Fast Moving Consumer Goods,DOMS,EQ,Fast Moving Consumer Goods,DOMS.NS,#N/A
Dr. Reddy's Laboratories Limited,Healthcare,DRREDDY,EQ,Healthcare,DRREDDY.NS,F&O
Dynamatic Technologies Limited,Capital Goods,DYNAMATECH,EQ,Capital Goods,DYNAMATECH.NS,#N/A
Easy Trip Planners Limited,Consumer Services,EASEMYTRIP,EQ,Consumer Services,EASEMYTRIP.NS,#N/A
eClerx Services Limited,Services,ECLERX,EQ,Services,ECLERX.NS,#N/A
Edelweiss Financial Services Limited,Financial Services,EDELWEISS,EQ,Financial Services,EDELWEISS.NS,#N/A
Eicher Motors Limited,Automobile and Auto Components,EICHERMOT,EQ,Automobile and Auto Components,EICHERMOT.NS,F&O
EID Parry India Limited,Chemicals,EIDPARRY,EQ,Chemicals,EIDPARRY.NS,#N/A
EIH Limited,Consumer Services,EIHOTEL,EQ,Consumer Services,EIHOTEL.NS,#N/A
Elecon Engineering Company Limited,Capital Goods,ELECON,EQ,Capital Goods,ELECON.NS,#N/A
Electrosteel Castings Limited,Capital Goods,ELECTCAST,EQ,Capital Goods,ELECTCAST.NS,#N/A
Elgi Equipments Limited,Capital Goods,ELGIEQUIP,EQ,Capital Goods,ELGIEQUIP.NS,#N/A
Emami Limited,Fast Moving Consumer Goods,EMAMILTD,EQ,Fast Moving Consumer Goods,EMAMILTD.NS,#N/A
Emcure Pharmaceuticals Ltd.,Healthcare,EMCURE,EQ,Healthcare,EMCURE.NS,#N/A
eMudhra Limited,Information Technology,EMUDHRA,EQ,Information Technology,EMUDHRA.NS,#N/A
