ticker,Company Name,Industry,stage,daily_setup_bucket,weekly_setup_bucket,combined_bucket,daily_score,weekly_score,combined_score,industry_boost,final_daily_score,final_weekly_score,final_combined_score,rs_3m_pct,rs_6m_pct,avg_turnover_inr,notes,current_rank,prev_rank,prev_stage,prev_daily_setup_bucket,prev_weekly_setup_bucket,prev_score,rank_change,combined_score_change,new_daily_breakout,new_weekly_breakout,entered_stage_2,new_top_10,new_top_20
BALKRISIND.NS,Balkrishna Industries Limited,Automobile and Auto Components,Stage 3,watchlist,weekly_watchlist,watchlist,11.7,39.8,24.34,2.0,11.7,39.8,26.34,-5.9,4.14,361896670.48,"Stage 3, weekly_vcp_ok, weekly_strong, distribution_risk",261,381,Stage 3,watchlist,weekly_watchlist,18.71,120,7.629999999999999,False,False,False,False,False
TARC.NS,TARC Limited,Realty,Stage 4,watchlist,weekly_watchlist,watchlist,14.18,12.32,13.34,0.0,14.18,12.32,13.34,-4.86,8.05,52239580.57,"Stage 4, volume_dryup, weekly_volume_dryup, downtrend",474,591,Stage 4,watchlist,weekly_watchlist,8.63,117,4.709999999999999,False,False,False,False,False
AFCONS.NS,Afcons Infrastructure Ltd.,Construction,Stage 3,watchlist,weekly_watchlist,watchlist,15.14,9.01,12.38,0.0,15.14,9.01,12.38,19.56,-9.47,604100763.04,"Stage 3, volume_dryup, distribution_risk",496,610,Stage 3,watchlist,weekly_watchlist,7.76,114,4.620000000000001,False,False,False,False,False
GHCL.NS,GHCL Limited,Chemicals,Stage 4,watchlist,weekly_watchlist,watchlist,8.2,0.0,4.51,5.0,8.2,0.0,9.51,1.15,-9.92,128521812.11,"Stage 4, downtrend",559,671,Stage 4,watchlist,weekly_watchlist,5.0,112,4.51,False,False,False,False,False
EIHOTEL.NS,EIH Limited,Consumer Services,Stage 4,watchlist,weekly_watchlist,watchlist,10.2,0.0,5.61,0.0,10.2,0.0,5.61,-2.11,-12.71,51436473.04,"Stage 4, volume_dryup, weekly_volume_dryup, downtrend",633,743,Stage 4,watchlist,weekly_watchlist,0.0,110,5.61,False,False,False,False,False
ICRA.NS,ICRA Limited,Financial Services,Stage 4,watchlist,weekly_watchlist,watchlist,1.28,35.8,16.81,0.0,1.28,35.8,16.81,1.03,-4.05,25819029.32,"Stage 4, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, downtrend",404,508,Stage 3,watchlist,weekly_watchlist,12.13,104,4.679999999999998,False,False,False,False,False
BATAINDIA.NS,Bata India Limited,Consumer Durables,Stage 4,watchlist,weekly_watchlist,watchlist,10.05,0.0,5.53,0.0,10.05,0.0,5.53,-8.38,-23.66,89598226.94,"Stage 4, volume_dryup, weekly_volume_dryup, downtrend",638,738,Stage 4,watchlist,weekly_watchlist,0.0,100,5.53,False,False,False,False,False
KEC.NS,KEC International Limited,Capital Goods,Stage 4,watchlist,weekly_watchlist,watchlist,8.2,4.0,6.31,10.0,8.2,4.0,16.31,-8.3,-18.61,857481740.97,"Stage 4, downtrend",411,511,Stage 4,watchlist,weekly_watchlist,11.8,100,4.509999999999998,False,False,False,False,False
UCOBANK.NS,UCO Bank,Financial Services,Stage 4,watchlist,weekly_watchlist,watchlist,11.07,0.0,6.09,0.0,11.07,0.0,6.09,-7.14,-8.52,110882800.69,"Stage 4, volume_dryup, weekly_volume_dryup, downtrend",625,724,Stage 4,watchlist,weekly_watchlist,2.0,99,4.09,False,False,False,False,False
HATSUN.NS,Hatsun Agro Product Limited,Fast Moving Consumer Goods,Stage 1,watchlist,weekly_watchlist,watchlist,0.0,13.72,6.17,2.0,0.0,13.72,8.17,13.48,-0.28,26635376.23,"Stage 1, weekly_volume_dryup, stage1_not_actionable, stage1_needs_more_base",584,683,Stage 1,watchlist,weekly_watchlist,4.24,99,3.9299999999999997,False,False,False,False,False
DATAMATICS.NS,Datamatics Global Services Limited,Information Technology,Stage 3,watchlist,weekly_watchlist,watchlist,12.55,11.85,12.23,0.0,12.55,11.85,12.23,11.29,5.17,134279985.65,"Stage 3, distribution_risk",499,597,Stage 3,watchlist,weekly_watchlist,8.32,98,3.91,False,False,False,False,False
SIS.NS,SIS LIMITED,Services,Stage 2,watchlist,weekly_watchlist,watchlist,38.26,35.2,36.88,2.0,38.26,35.2,38.88,46.65,35.39,111835600.07,"Stage 2, volume_dryup, weekly_volume_dryup",126,223,Stage 2,watchlist,weekly_watchlist,29.25,97,9.630000000000003,False,False,False,False,False
BANDHANBNK.NS,Bandhan Bank Limited,Financial Services,Stage 2,watchlist,weekly_watchlist,watchlist,38.74,42.97,40.64,0.0,38.74,42.97,40.64,19.34,48.35,2028647145.6,"Stage 2, trend_template_ok, volume_dryup, weekly_volume_dryup",112,208,Stage 2,watchlist,weekly_watchlist,30.02,96,10.620000000000001,False,False,False,False,False
MSTCLTD.NS,Mstc Limited,Services,Stage 3,watchlist,weekly_watchlist,watchlist,20.31,3.11,12.57,2.0,20.31,3.11,14.57,6.35,0.71,71934158.25,"Stage 3, volume_dryup, weekly_volume_dryup, distribution_risk",448,543,Stage 3,watchlist,weekly_watchlist,10.75,95,3.8200000000000003,False,False,False,False,False
NAUKRI.NS,Info Edge (India) Limited,Consumer Services,Stage 3,watchlist,weekly_watchlist,watchlist,0.0,16.0,7.2,0.0,0.0,16.0,7.2,3.56,-14.95,2868841168.52,"Stage 3, distribution_risk",602,696,Stage 3,watchlist,weekly_watchlist,3.6,94,3.6,False,False,False,False,False
