ticker,Company Name,Industry,sector,is_fo_stock,fo_category,stage,overall_setup_label,final_combined_score,change_1d_pct,change_1w_pct,change_1m_pct,change_ytd_pct,last_close,stage_variant,stage_classification,stage_display
WAAREEENER.NS,Waaree Energies Ltd.,Capital Goods,Unknown,True,F&O,Stage 4,watchlist,15.9,2.11,1.37,-5.11,-8.06,2717.0,Stage 4,Stage 4,Stage 4
ASTRAMICRO.NS,Astra Microwave Products Limited,Capital Goods,Unknown,False,Cash,Stage 2,watchlist,47.6,2.1,-1.16,0.38,87.18,1840.0,Stage 2,Stage 2,Stage 2
DELHIVERY.NS,Delhivery Limited,Services,Unknown,True,F&O,Stage 2 Failed,watchlist,49.95,2.09,-1.79,-8.21,18.15,473.3,Stage 2 Failed,Stage 2 Failed,Stage 2 Failed
LLOYDSME.NS,Lloyds Metals And Energy Limited,Metals & Mining,Unknown,False,Cash,Stage 2,watchlist,60.26,2.05,2.65,20.41,55.46,2101.2,Stage 2,Stage 2,Stage 2
IMAGICAA.NS,Imagicaaworld Entertainment Limited,Consumer Services,Unknown,False,Cash,Stage 1,watchlist,36.22,2.04,14.62,14.82,8.94,52.14,Stage 1,Stage 1,Stage 1
SANSERA.NS,Sansera Engineering Limited,Automobile and Auto Components,Unknown,False,Cash,Stage 2,watchlist,49.68,2.02,15.44,22.97,118.85,3863.8,Stage 2,Stage 2,Stage 2
COCHINSHIP.NS,Cochin Shipyard Limited,Capital Goods,Unknown,True,F&O,Stage 4,watchlist,35.07,1.99,6.8,8.03,-6.12,1519.7,Stage 4,Stage 4,Stage 4
ORISSAMINE.NS,The Orissa Minerals Development Company Limited,Metals & Mining,Unknown,False,Cash,Not Sure,watchlist,18.55,1.97,10.51,16.98,-11.64,4405.2,Not Sure,Not Sure,Not Sure
BRITANNIA.NS,Britannia Industries Limited,Fast Moving Consumer Goods,Unknown,True,F&O,Stage 4,watchlist,20.77,1.96,1.4,5.39,-6.78,5510.0,Stage 4,Stage 4,Stage 4
ATHERENERG.NS,Ather Energy Ltd.,Automobile and Auto Components,Unknown,False,Cash,Stage 2,watchlist,68.16,1.95,17.55,21.59,100.61,1481.5,Stage 2,Stage 2,Stage 2
LTFOODS.NS,LT Foods Ltd.,Fast Moving Consumer Goods,Unknown,False,Cash,Not Sure,watchlist,45.37,1.94,4.19,10.08,11.03,427.55,Not Sure,Not Sure,Not Sure
TORNTPOWER.NS,Torrent Power Limited,Power,Unknown,False,Cash,Stage 4,watchlist,12.02,1.93,-5.11,-3.58,3.2,1350.8,Stage 4,Stage 4,Stage 4
WONDERLA.NS,Wonderla Holidays Limited,Consumer Services,Unknown,False,Cash,Stage 4,watchlist,6.36,1.93,3.66,5.56,-6.06,493.15,Stage 4,Stage 4,Stage 4
MARKSANS.NS,Marksans Pharma Limited,Healthcare,Unknown,False,Cash,Stage 2,watchlist,62.34,1.84,5.9,3.95,52.25,273.85,Stage 2,Stage 2,Stage 2
MTARTECH.NS,Mtar Technologies Limited,Capital Goods,Unknown,False,Cash,Stage 2,watchlist,34.91,1.82,29.93,3.79,195.78,7085.5,Stage 2,Stage 2,Stage 2
KPIL.NS,Kalpataru Projects International Limited,Construction,Unknown,False,Cash,Stage 2,watchlist,27.5,1.79,2.69,-1.14,10.44,1317.2,Stage 2,Stage 2,Stage 2
TATAELXSI.NS,Tata Elxsi Limited,Information Technology,Unknown,True,F&O,Stage 4,watchlist,31.28,1.78,2.94,4.41,-26.15,3781.0,Stage 4,Stage 4,Stage 4
BRIGADE.NS,Brigade Enterprises Limited,Realty,Unknown,False,Cash,Stage 1,watchlist,38.43,1.75,3.34,16.15,-13.16,581.95,Stage 1,Stage 1,Stage 1
ZEEL.NS,Zee Entertainment Enterprises Limited,"Media, Entertainment & Publication",Unknown,False,Cash,Stage 2 Failed,watchlist,31.99,1.75,-16.06,-5.39,4.1,94.19,Stage 2 Failed,Stage 2 Failed,Stage 2 Failed
CUB.NS,City Union Bank Limited,Financial Services,Unknown,False,Cash,Stage 2,watchlist,70.55,1.73,2.66,-6.59,-1.28,212.0,Stage 2,Stage 2,Stage 2
THERMAX.NS,Thermax Limited,Capital Goods,Unknown,False,Cash,Stage 2 Failed,watchlist,31.36,1.73,-5.72,-15.15,33.07,4059.9,Stage 2 Failed,Stage 2 Failed,Stage 2 Failed
PRAJIND.NS,Praj Industries Limited,Capital Goods,Unknown,False,Cash,Stage 4,watchlist,16.45,1.69,5.41,-7.11,2.84,325.05,Stage 4,Stage 4,Stage 4
LICI.NS,Life Insurance Corporation Of India,Financial Services,Unknown,True,F&O,Stage 2 Failed,watchlist,35.36,1.66,-7.23,-10.14,-5.43,394.0,Stage 2 Failed,Stage 2 Failed,Stage 2 Failed
BANKINDIA.NS,Bank of India,Financial Services,Unknown,True,F&O,Stage 2 Failed,watchlist,40.48,1.64,5.11,4.67,1.87,145.0,Stage 2 Failed,Stage 2 Failed,Stage 2 Failed
HCLTECH.NS,HCL Technologies Limited,Information Technology,Unknown,True,F&O,Stage 1,watchlist,41.67,1.62,0.72,19.13,-13.93,1356.6,Stage 1,Stage 1,Stage 1
BHARTIHEXA.NS,Bharti Hexacom Ltd.,Telecommunication,Unknown,False,Cash,Stage 4,watchlist,41.17,1.6,-4.27,-1.0,-14.07,1538.8,Stage 4,Stage 4,Stage 4
NEWGEN.NS,Newgen Software Technologies Limited,Information Technology,Unknown,False,Cash,Stage 1,watchlist,27.46,1.59,-0.35,19.65,-33.27,551.0,Stage 1,Stage 1,Stage 1
COHANCE.NS,Cohance Lifesciences Ltd.,Healthcare,Unknown,False,Cash,Stage 4,watchlist,41.88,1.56,4.81,3.47,-14.85,445.75,Stage 4,Stage 4,Stage 4
HEXT.NS,Hexaware Technologies Ltd.,Information Technology,Unknown,False,Cash,Stage 1,watchlist,34.51,1.55,0.53,4.7,-24.11,564.6,Stage 1,Stage 1,Stage 1
TATACHEM.NS,Tata Chemicals Limited,Chemicals,Unknown,False,Cash,Stage 4,watchlist,22.33,1.55,0.48,-5.19,-8.95,673.55,Stage 4,Stage 4,Stage 4
RECLTD.NS,REC Limited,Financial Services,Unknown,True,F&O,Stage 2,watchlist,60.84,1.52,-1.6,5.46,3.17,367.0,Stage 2,Stage 2,Stage 2
TVSMOTOR.NS,TVS Motor Company Limited,Automobile and Auto Components,Unknown,True,F&O,Stage 2,watchlist,74.67,1.51,5.52,22.01,17.45,4440.9,Stage 2,Stage 2,Stage 2
HATSUN.NS,Hatsun Agro Product Limited,Fast Moving Consumer Goods,Unknown,False,Cash,Stage 1,watchlist,34.72,1.49,7.0,4.29,-2.32,941.1,Stage 1,Stage 1,Stage 1
SUMICHEM.NS,Sumitomo Chemical India Limited,Chemicals,Unknown,False,Cash,Stage 2,watchlist,50.23,1.48,4.83,14.37,13.79,532.95,Stage 2,Stage 2,Stage 2
MANKIND.NS,Mankind Pharma Limited,Healthcare,Unknown,True,F&O,Stage 2,watchlist,37.07,1.48,-0.55,-3.0,13.46,2456.0,Stage 2,Stage 2,Stage 2
SCHNEIDER.NS,Schneider Electric Infrastructure Limited,Capital Goods,Unknown,False,Cash,Stage 2,watchlist,64.72,1.47,4.34,-9.47,89.3,1354.8,Stage 2,Stage 2,Stage 2
MEDPLUS.NS,Medplus Health Services Limited,Consumer Services,Unknown,False,Cash,Stage 4,watchlist,21.27,1.46,-2.03,-14.21,-13.62,700.25,Stage 4,Stage 4,Stage 4
ANANDRATHI.NS,Anand Rathi Wealth Limited,Financial Services,Unknown,False,Cash,Stage 2,watchlist,48.57,1.45,3.05,2.02,36.07,2101.5,Stage 2,Stage 2,Stage 2
JKIL.NS,J.Kumar Infraprojects Limited,Construction,Unknown,False,Cash,Stage 4,watchlist,28.21,1.45,2.73,3.09,-13.23,498.9,Stage 4,Stage 4,Stage 4
ASTRAZEN.NS,AstraZeneca Pharma India Limited,Healthcare,Unknown,False,Cash,Stage 4,watchlist,37.73,1.43,1.64,1.06,-6.26,8191.0,Stage 4,Stage 4,Stage 4
SANGHVIMOV.NS,Sanghvi Movers Limited,Capital Goods,Unknown,False,Cash,Stage 2,watchlist,39.73,1.42,12.55,10.69,40.51,488.4,Stage 2,Stage 2,Stage 2
MGL.NS,Mahanagar Gas Limited,"Oil, Gas & Consumable Fuels",Unknown,False,Cash,Not Sure,watchlist,34.52,1.41,1.89,4.18,2.08,1139.6,Not Sure,Not Sure,Not Sure
KEC.NS,KEC International Limited,Capital Goods,Unknown,False,Cash,Stage 4,watchlist,23.58,1.41,3.34,-0.52,-34.39,478.85,Stage 4,Stage 4,Stage 4
PURVA.NS,Puravankara Limited,Realty,Unknown,False,Cash,Stage 4,watchlist,18.93,1.41,-0.31,-1.15,-11.84,212.37,Stage 4,Stage 4,Stage 4
